query_id,TF-IDF only,BM25 only,Hybrid lexical (TF-IDF+BM25),Embeddings (E5),+ L1 hybrid signals,+ Cross-Encoder,+ RAG-Fusion + MMR (Full)
Q001,0.0784,0.0851,0.1100,0.2706,0.2706,0.2706,0.0000
Q002,0.2201,0.2201,0.2201,0.0000,0.0000,0.0000,0.0000
Q003,0.0784,0.0851,0.1100,0.2782,0.2782,0.2782,0.0000
Q004,0.2201,0.2201,0.2201,0.3863,0.3863,0.3863,0.0851
Q005,0.0000,0.0000,0.0000,0.2240,0.2240,0.2240,0.0000
Q006,0.0000,0.0000,0.0000,0.2805,0.2805,0.2805,0.0663
Q007,0.3579,0.3317,0.3529,0.3421,0.3421,0.3421,0.0261
Q008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q011,0.0261,0.0000,0.0000,0.0000,0.0000,0.0000,0.1100
Q012,0.2489,0.3301,0.3301,0.3149,0.3301,0.3301,0.2201
