query_id,TF-IDF only,BM25 only,Hybrid lexical (TF-IDF+BM25),Embeddings (E5),+ L1 hybrid signals,+ Cross-Encoder,+ RAG-Fusion + MMR (Full)
Q001,0.0000,0.0663,0.0000,0.4710,0.4737,0.4737,0.0784
Q002,0.2201,0.2201,0.2201,0.0000,0.0000,0.0000,0.0000
Q003,0.0000,0.2201,0.0000,0.0948,0.1389,0.1389,0.0000
Q004,0.0000,0.0000,0.0000,0.0663,0.0663,0.0663,0.1609
Q005,0.0734,0.2330,0.2685,0.0851,0.0000,0.0000,0.0000
Q006,0.0000,0.0915,0.0948,0.1596,0.2107,0.2107,0.0734
Q007,0.0948,0.0784,0.0784,0.4383,0.4383,0.4383,0.0663
Q008,0.0212,0.0316,0.0284,0.1635,0.3152,0.3152,0.0734
Q009,0.0946,0.1100,0.0600,0.0000,0.0000,0.0000,0.1389
Q010,0.6500,0.6500,0.6500,0.7878,0.7878,0.7878,0.6236
