query_id,TF-IDF only,BM25 only,Hybrid lexical (TF-IDF+BM25),Embeddings (E5),+ L1 hybrid signals,+ Cross-Encoder,+ RAG-Fusion + MMR (Full)
Q001,0.0851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q002,0.2173,0.0663,0.1585,0.0000,0.0000,0.0000,0.0000
Q003,0.0000,0.0212,0.0000,0.4124,0.4124,0.4124,0.0000
Q004,0.0851,0.0000,0.0000,0.1315,0.1416,0.1416,0.0000
Q005,0.2935,0.0694,0.0784,0.0636,0.0636,0.0636,0.0000
Q006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q007,0.5266,0.5442,0.6060,0.2413,0.2413,0.2413,0.3597
Q008,0.0000,0.1100,0.1389,0.0000,0.0000,0.0000,0.0948
Q009,0.1197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q010,0.1396,0.0948,0.1478,0.0000,0.0000,0.0000,0.0000
Q011,0.0000,0.0000,0.0000,0.0663,0.0636,0.0636,0.0000
Q012,0.6431,0.1100,0.2422,0.3885,0.3917,0.3917,0.2201
Q013,0.0000,0.0000,0.0000,0.1331,0.1331,0.1331,0.0000
Q014,0.4153,0.2686,0.4374,0.0000,0.0000,0.0000,0.2201
Q015,1.0000,1.0000,1.0000,0.8167,0.8848,0.8848,0.1428
Q016,0.0636,0.2489,0.3149,0.2935,0.2895,0.2895,0.0212
Q017,0.0000,0.0000,0.0000,0.3301,0.3301,0.3301,0.0000
Q018,0.4688,0.5025,0.5499,0.8944,0.8944,0.8944,0.0231
Q019,0.6349,0.7245,0.7490,0.5698,0.5585,0.5585,0.0000
Q020,0.5135,0.6434,0.7642,0.5407,0.4754,0.4754,0.0000
Q021,0.0663,0.0000,0.0000,0.3950,0.4654,0.4654,0.2541
Q022,0.2793,0.2489,0.4576,0.2884,0.2895,0.2895,0.5985
Q023,0.0000,0.0000,0.0000,0.0851,0.0906,0.0906,0.0000
Q024,0.3066,0.5677,0.5311,0.3945,0.3130,0.3130,0.0261
Q025,0.0000,0.0734,0.0734,0.0000,0.0000,0.0000,0.0000
Q026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q027,0.0000,0.0000,0.0000,0.0245,0.0261,0.0261,0.0000
Q028,0.0636,0.0663,0.0000,0.0000,0.0000,0.0000,0.1467
Q029,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0221
Q030,0.2785,0.1100,0.0948,0.1333,0.1605,0.1605,0.2201
Q031,0.1661,0.1606,0.2193,0.1420,0.1420,0.1420,0.0000
Q032,0.0000,0.2048,0.0000,0.0221,0.0231,0.0231,0.0000
Q033,0.0948,0.0261,0.0000,0.0000,0.0000,0.0000,0.0636
Q034,0.1389,0.1389,0.0948,0.1584,0.0948,0.0948,0.0734
Q035,0.2201,0.0000,0.0784,0.0000,0.0000,0.0000,0.0000
Q036,0.1884,0.1610,0.0948,0.3052,0.3052,0.3052,0.2201
Q037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q038,0.2666,0.0784,0.1389,0.0000,0.0784,0.0784,0.2201
Q039,0.0851,0.0245,0.0000,0.0000,0.0000,0.0000,0.0734
Q040,0.0663,0.0000,0.0000,0.0000,0.0000,0.0000,0.1389
